name,closing_date,verification_date,institution,verification,guidelines,faq,state
PM YASASVI PRE MATRIC SCHOLARSHIP SCHEME FOR OBC STUDENTS (CLASS IX AND X) MANIPUR,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/manipur_3036_G.pdf,https://www.scholarships.gov.in#,PM YASASVI PRE MATRIC SCHOLARSHIP SCHEME FOR OBC STUDENTS (CLASS IX AND X) MANIPUR
STATE COMPETITIVE SCHOLARSHIP FOR CLASS V AND VIII-MANIPUR,Open till 28-02-2024,Open till 20-03-2024,Open till 20-03-2024,Open till 2024-03-25,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/Guidelines_3043.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/FAQ_3043.pdf,MANIPUR
Merits Scholarship Scheme for Class X and XII MANIPUR,Open till 31-01-2024,Open till 10-02-2024,Open till 10-02-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/guidelines_3044_1.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/FAQ_3044.pdf,Merits Scholarship Scheme for Class X and XII MANIPUR
STATE MERIT SCHOLARSHIP EDUCATION-U - MANIPUR,Open till 10-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/manipur_Guidelines_3056.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/FAQ_3056.pdf,MANIPUR
UMBRELLA SCHEME FOR EDUCATION OF ST CHILDREN - PRE-MATRIC SCHOLARSHIP (CLASS IX & X) FOR ST STUDENTS - MEGHALAYA,Open till 09-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/meghalayaPreMatric.pdf,https://www.scholarships.gov.in#,MEGHALAYA
UMBRELLA SCHEME FOR EDUCATION OF ST CHILDREN - POST-MATRIC SCHOLARSHIP (PMS) FOR ST STUDENTS - MEGHALAYA,Open till 09-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/meghalayaPostMatric.pdf,https://www.scholarships.gov.in#,MEGHALAYA
SCHOLARSHIP FOR PRE-SERVICE STUDENT TEACHER UNDER D.EL.ED COURSE-MEGHALAYA,Closed on 17-10-2022,Closed on 18-11-2022,Closed on 18-11-2022,Closed on 2022-12-19,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/Guidelines_3045.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/FAQ_3045.pdf,MEGHALAYA
STSE FOR TRIBAL STUDENTS(CLASS IX AND X) IN MATHEMATICS AND SCIENCE AWARD-MEGHALAYA,Closed on 17-10-2022,Closed on 18-11-2022,Closed on 18-11-2022,Closed on 2022-12-19,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/Guidelines_3046.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/FAQs_3046.pdf,MEGHALAYA
AWARD FOR MERITORIOUS TRIBAL STUDENT- HSSLC SCIENCE-MEGHALAYA,Closed on 17-10-2022,Closed on 18-11-2022,Closed on 18-11-2022,Closed on 2022-12-19,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/Guidelines_3047.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/FAQ_3047.pdf,MEGHALAYA
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR SC STUDENTS (CLASS IX & X) -MEGHALAYA,Open till 09-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/Guidellines_3053.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/FAQ_3053.pdf,MEGHALAYA
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP FOR SC STUDENTS-MEGHALAYA,Open till 09-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/Guidelines_3054.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/meghalaya/FAQ_3054.pdf,MEGHALAYA
POST MATRIC SCHOLARSHIP TO ST STUDENTS - MIZORAM,Open till 08-03-2024,Open till 22-03-2024,Open till 22-03-2024,Open till 2024-01-31,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,MIZORAM
PRE MATRIC SCHOLARSHIP TO ST STUDENTS (CLASS IX AND X) - MIZORAM,Open till 08-03-2024,Open till 22-03-2024,Open till 22-03-2024,Open till 2024-01-31,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,MIZORAM
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR SC STUDENTS (CLASS IX & X)-PUNJAB,Open till 16-01-2024,Open till 22-01-2024,Open till 22-01-2024,Open till 2024-01-29,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,PUNJAB
PRE-MATRIC SCHOLARSHIP TO THE CHILDREN OF THOSE ENGAGED IN OCCUPATIONS INVOLVING CLEANING AND PRONE TO HEALTH HAZARDS - PUNJAB,Open till 16-01-2024,Open till 22-01-2024,Open till 22-01-2024,Open till 2024-01-29,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,PUNJAB
